Timestamp,Grade,Type of problem,Types of holds,Number of attempts,Is it a send?,"If it is a send, what is the quality?","If it is a fall, what is the cause? (Or how should you do better in the next try?)",Other notes,Have you been breathing?,Have you been keeping your body as close to the wall as possible?,Have you been shifting your weight dynamically as you reach for the next holds?,Have you grab the hold perpendicularly to its orientation?,Have you been using 'silent feet'?,Have you been keeping awareness of your body position?
11/20/2021 15:01:18,V4,Vertical,"Crimp, Pinch, Undercling",1,No,,Beta to the next move,Side pull start,,,,,,
11/20/2021 15:06:19,V4,Vertical,Sloper,2,No,,Wrong body position,What if left hand out first?,,,,,,
11/20/2021 15:08:45,V4,Vertical,Sloper,4,No,,"Beta to the next move, Wrong body position",Switch hand?,,,,,,
11/20/2021 15:11:25,V4,Vertical,Pinch,5,No,,Beta to the next move,Grab that undercling?,,,,,,
11/20/2021 15:15:07,V4,Vertical,Sloper,7,No,,Beta to the next move,,,,,,,
11/20/2021 15:19:51,V4,Vertical,Sloper,9,No,,Beta to the next move,Right foot up first,,,,,,
11/20/2021 15:22:59,V4,Vertical,Pinch,11,No,,"Beta to the next move, Wrong body position",,,,,,,
11/20/2021 15:31:50,V4,Slab,Sloper,2,No,,"Beta to the next move, Wrong body position",Adjust grip and body position to make it more comfy with the second sloper,,,,,,
11/20/2021 15:38:22,V4,Slab,Sloper,2,No,,"Beta to the next move, Suboptimal sequence",Left foot up that sloper,,,,,,
11/20/2021 15:41:39,V4,Slab,Sloper,3,No,,Beta to the next move,Back flag left hand out,,,,,,
11/20/2021 15:44:42,V4,Slab,Sloper,5,No,,Beta to the next move,Use the slab?,,,,,,
11/20/2021 15:51:21,V4,Slab,Sloper,6,No,,Beta to the next move,Use the sloper to reach the next one?,,,,,,
11/20/2021 15:55:07,V4,Slab,Sloper,7,No,,Beta to the next move,Right foot to right hand,,,,,,
11/20/2021 15:58:34,V4,Slab,Sloper,8,No,,Beta to the next move,Maybe right hand out of way of the hold?,,,,,,
11/20/2021 16:06:28,V4,Vertical,"Crimp, Sloper",12,No,,Lack familiarity with the move,Close,,,,,,
11/20/2021 16:10:09,V4,Vertical,"Crimp, Sloper",13,No,,"Beta to the next move, Lack familiarity with the move",Try to hold on,,,,,,
11/20/2021 16:15:49,V4,Slab,Sloper,14,Yes,6,,Try beta in the fly yeah,,,,,,
12/3/2021 18:59:55,V4,Vertical,"Jug, Sloper",1,Yes,6,,Rhythmic breathing ,No,Maybe,,,,
12/3/2021 19:06:28,V4,Vertical,Pocket,1,Yes,5,,Maybe need to start breathing from warmup? Struggled a bit with beta but calm enough to figure things out ,No,Maybe,,,,
12/3/2021 19:10:51,V5,Vertical,"Jug, Pinch",1,No,,"Beta to the next move, Suboptimal sequence, Too nervous",Take time to figure out the sequence ,No,No,,,,
12/3/2021 19:13:28,V5,Vertical,"Jug, Crimp, Sloper",2,No,,"Lack familiarity with the move, Too nervous",Breathe!,No,No,,,,
12/3/2021 19:17:46,V5,Overhang,"Pinch, Undercling",1,No,,"Lack familiarity with the move, Footwork issue",Awareness! That’s progress ,Yes,Yes,,,,
12/3/2021 19:22:10,V5,Overhang,"Pinch, Undercling",2,No,,Beta to the next move,Try another cross,Maybe,No,,,,
12/3/2021 19:24:26,V5,Overhang,"Pinch, Undercling",3,No,,Beta to the next move,Try put more weight on left foot,No,No,,,,
12/3/2021 19:30:40,V5,Overhang,"Pinch, Undercling",4,No,6,,Finished the later part,Maybe,No,,,,
12/3/2021 19:35:35,V5,Overhang,"Pinch, Undercling",5,Yes,6,,A little nervous at the top but kept breathing. Could have pressed the left foot a little more,Yes,No,,,,
12/3/2021 19:41:01,V4,Slab,Crimp,1,No,,Beta to the next move,Try low start,No,No,,,,
12/3/2021 19:45:45,V4,Slab,Crimp,2,No,,Beta to the next move,Try sit on the start foot hold and cross,No,Yes,,,,
12/3/2021 19:49:12,V4,Slab,Crimp,3,No,,Footwork issue,Didn’t trust the foot. Be calm and take your time ,No,Yes,,,,
12/3/2021 19:52:38,V4,Slab,Crimp,5,No,,"Beta to the next move, Footwork issue",Try to stand up and stabilize before grabbing that next right hold,No,No,,,,
12/3/2021 19:58:54,V4,Slab,Crimp,6,No,,Footwork issue,Beta was ok just need to trust the next step ,No,No,,,,
12/3/2021 20:08:31,V4,Slab,Crimp,6,No,,Footwork issue,,No,No,,,,
12/3/2021 20:09:12,V4,Slab,Crimp,7,Yes,6,,Almost didn’t make the last foot. Need more footwork training,No,No,,,,
12/3/2021 20:15:36,V5,Vertical,"Jug, Pinch, Pocket",7,No,,"Beta to the next move, Suboptimal sequence",Match,No,No,,,,
12/3/2021 20:19:25,V5,Vertical,"Jug, Pinch, Pocket",8,No,,"Beta to the next move, Lack familiarity with the move",Right hand crimp left hand disk right hand pocket,Yes,No,,,,
12/3/2021 20:24:20,V5,Vertical,"Jug, Pinch, Pocket",9,No,,"Lack familiarity with the move, Too tired",Need more rest and don’t overgrip,Yes,No,,,,
12/3/2021 20:34:55,V5,Vertical,"Jug, Pinch, Pocket",10,Yes,6,,A little hesitant in the middle; could have been more fluid,Yes,No,,,,
12/3/2021 20:45:00,V4,Vertical,"Jug, Crimp",2,No,,Beta to the next move,Start right foot high?,No,No,,,,
12/3/2021 20:46:33,V4,Vertical,"Jug, Crimp",3,No,,"Beta to the next move, Wrong body position",Side pull! ,No,No,,,,
12/3/2021 20:52:06,V4,Vertical,"Jug, Crimp",5,No,,Beta to the next move,Try left foot start ,No,No,,,,
12/3/2021 20:57:01,V4,Vertical,"Jug, Crimp",6,No,,"Beta to the next move, Footwork issue",A good problem to practice foot switching ,Maybe,No,,,,
12/3/2021 21:03:00,V4,Vertical,"Jug, Crimp",6,Yes,6,,For side pull keep the weight against it (fall back) feels much better even though it makes you further from the target ,No,No,,,,
12/7/2021 18:29:49,V4,Vertical,Crimp,1,No,,"Beta to the next move, Lack familiarity with the move, Not making use of the side pull",Bouncy body,No,No,No,,,
12/7/2021 18:33:33,V4,Vertical,Crimp,2,Yes,4,,Footwork awareness is good,No,Maybe,No,,,
12/7/2021 18:40:23,V5,Vertical,Crimp,1,No,,Beta to the next move,High left foot?,No,No,Maybe,,,
12/7/2021 18:44:37,V5,Vertical,Crimp,2,No,,Beta to the next move,Right foot right hand?,No,Yes,No,,,
12/7/2021 18:47:25,V5,Vertical,Crimp,3,No,,Beta to the next move,Los left foot dead point,Maybe,Maybe,No,,,
12/7/2021 18:52:43,V5,Vertical,Crimp,5,Yes,7,,Breathing helps committing ,Yes,Maybe,No,,,
12/7/2021 18:59:43,V6,Vertical,"Sloper, Pocket",1,No,,Right wrist gives up; fingers hurt,Another time,Maybe,No,Maybe,,,
12/7/2021 19:06:39,V5,Vertical,"Sloper, Undercling, Horn",2,No,,Beta to the next move,Go to sloper first?,No,No,No,,,
12/7/2021 19:09:16,V5,Vertical,"Sloper, Undercling, Horn",3,No,,Beta to the next move,High foot to make use of undercling?,No,No,No,,,
12/7/2021 19:12:33,V5,Vertical,"Sloper, Undercling, Horn",4,No,,Beta to the next move,,No,No,No,,,
12/7/2021 19:17:09,V5,Vertical,"Sloper, Undercling, Horn",5,No,,"Beta to the next move, Suboptimal sequence",High right foot and up right hand and bump ,No,No,No,,,
12/7/2021 19:24:06,V5,Vertical,"Sloper, Undercling, Horn",6,No,,Beta to the next move,Go straight to jug,No,No,No,,,
12/7/2021 19:27:41,V5,Vertical,"Sloper, Undercling, Horn",7,No,,Beta to the next move,Grab horn with left hand first ,Yes,No,Maybe,,,
12/7/2021 19:32:54,V5,Vertical,"Sloper, Undercling, Horn",8,No,,Beta to the next move,Need to move more fluidly,Maybe,No,No,,,
12/7/2021 19:36:40,V5,Vertical,"Sloper, Undercling, Horn",9,No,,"Footwork issue, Too tired",Need to raise center of gravity quickly to hold on to the undercling,No,No,No,,,
12/7/2021 19:41:48,V5,Vertical,"Sloper, Undercling, Horn",10,No,,Beta to the next move,Not sure how to grab the horn,Maybe,No,No,,,
12/7/2021 19:50:08,V5,Vertical,"Sloper, Undercling, Horn",11,No,,"Beta to the next move, Too tired",No leverage/support on the left foot need to press left foot harder ,Maybe,No,No,,,
12/7/2021 19:56:55,V5,Arête,"Pinch, Sloper",1,No,,Beta to the next move,Bump?,No,No,No,,,
12/7/2021 19:59:56,V5,Arête,"Pinch, Sloper",2,No,,Beta to the next move,Need to get a better left foot and then match?,Yes,No,No,,,
12/7/2021 20:03:18,V5,Arête,"Pinch, Sloper",3,No,,Footwork issue,Be decisive on landing on a secure left foot,Yes,No,Yes,,,
12/7/2021 20:07:20,V5,Arête,"Pinch, Sloper",4,No,,Footwork issue,Practice!,Yes,No,Yes,,,
12/7/2021 20:11:00,V5,Arête,"Pinch, Sloper",5,No,,Footwork issue,Should step on the top?,Maybe,No,Yes,,,
12/7/2021 20:17:55,V5,Arête,"Pinch, Sloper",5,No,,"Beta to the next move, Too tired",Left shoulder give up,No,No,Maybe,,,
12/7/2021 20:24:41,V6,Vertical,Edge,2,No,,"Lack familiarity with the move, Wrong body position",Switch both hands?,Maybe,Maybe,No,,,
12/7/2021 20:27:03,V6,Vertical,Edge,3,No,,"Beta to the next move, Wrong body position",Bump right hand?,No,No,No,,,
12/7/2021 20:29:45,V6,Vertical,Edge,4,No,,Too tired,Beta seems ok just need to be more fluid,No,No,No,,,
12/7/2021 20:33:43,V6,Vertical,Edge,6,No,,"Too tired, Not efficient enough ",,Maybe,No,Maybe,,,
12/10/2021 19:42:56,V5,Roof,"Jug, Crimp",1,No,,"Beta to the next move, Too nervous",Just cut feet,Maybe,No,No,,,
12/10/2021 19:50:43,V5,Roof,"Jug, Crimp",2,No,,"Beta to the next move, Too tired",,Maybe,No,Yes,,,
12/10/2021 19:56:27,V5,Roof,Jug,3,No,,"Lack familiarity with the move, Too tired, Not efficient; hesitate",,Yes,No,No,,,
12/10/2021 20:01:50,V5,Roof,"Jug, Crimp",4,No,,"Beta to the next move, Too tired",Turn body drop knee dead point dynamic,Maybe,No,No,,,
12/10/2021 20:12:09,V5,Roof,"Jug, Crimp",5,Yes,4,,Brute force at the end; couldn’t think of better beta,Maybe,No,Yes,,,
12/10/2021 20:29:23,V5,Roof,Jug,1,No,,Beta to the next move,,Maybe,No,Maybe,,,
12/10/2021 20:39:09,V5,Roof,Jug,2,No,,Beta to the next move,Jam foot,Maybe,No,Maybe,,,
12/10/2021 20:45:06,V5,Roof,Jug,3,No,,Footwork issue,Jamming the left foot real good before releasing the right foot,Maybe,No,No,,,
12/10/2021 20:50:58,V5,Roof,Jug,4,No,,"Suboptimal sequence, Footwork issue",One left foot is jammed don’t move right foot directly reach the crux hold ,Maybe,No,Maybe,,,
12/10/2021 20:55:37,V5,Roof,Jug,5,No,,"Footwork issue, Too tired, Not efficient enoguh",Be more committed at the dead point ,Maybe,No,Maybe,,,
12/10/2021 21:04:15,V5,Roof,Jug,6,No,,"Beta to the next move, Too tired",Right foot step on volume?,Maybe,No,Yes,,,
12/14/2021 12:50:42,V4,Overhang,"Jug, Pinch, Sloper",1,Yes,7,,Add more dynamics,Yes,No,Maybe,,,
12/14/2021 12:55:34,V6,Vertical,"Sloper, Pocket",1,No,,"Lack familiarity with the move, Cannot grab on to the hold",Breath and shit weight,No,No,No,,,
12/14/2021 12:59:18,V6,Vertical,"Sloper, Pocket",2,No,,Beta to the next move,Dead point then Up left foot,Yes,No,Yes,,,
12/14/2021 13:03:09,V6,Vertical,"Sloper, Pocket",3,No,,Beta to the next move,Turn the body,Maybe,No,Maybe,,,
12/14/2021 13:07:00,V6,Vertical,"Sloper, Pocket",4,No,,Beta to the next move,Try to grab the best part of the sloper,Maybe,Maybe,Maybe,,,
12/14/2021 13:10:21,V6,Vertical,"Sloper, Pocket",5,No,,Beta to the next move,Try lock off and reach?,Yes,No,Yes,,,
12/14/2021 13:18:08,V6,Vertical,"Pinch, Sloper",6,No,,Beta to the next move,Still desdpoint,No,No,Yes,,,
12/14/2021 13:19:57,V6,Vertical,"Sloper, Pocket",7,No,,Beta to the next move,Try left hand out first,Maybe,No,Maybe,,,
12/14/2021 13:22:27,V6,Vertical,"Sloper, Pocket",8,No,,Beta to the next move,Just dead point the ,No,No,Yes,,,
12/14/2021 13:28:17,V6,Vertical,"Pinch, Sloper",9,No,,Beta to the next move,,Maybe,No,Maybe,,,
12/14/2021 13:33:04,V5,Vertical,"Crimp, Pinch",1,No,,"Beta to the next move, Lack familiarity with the move",Try next move,No,No,Yes,,,
12/14/2021 13:36:11,V5,Vertical,"Crimp, Pinch",2,No,,Beta to the next move,Heel hook?,No,No,No,,,
12/14/2021 13:39:40,V5,Vertical,"Crimp, Pinch",3,No,,Beta to the next move,,No,No,No,,,
12/14/2021 13:45:41,V5,Vertical,"Pinch, Sloper",4,No,,Beta to the next move,,No,No,No,,,
12/14/2021 13:46:28,V5,Vertical,"Crimp, Pinch",5,No,,"Beta to the next move, Footwork issue",Don’t let go of right toe,Yes,No,Yes,,,
12/14/2021 13:48:50,V5,Vertical,"Crimp, Pinch",5,No,,Beta to the next move,Try heel hook anyway,Yes,No,Yes,,,
12/14/2021 13:53:19,V5,Vertical,"Crimp, Pinch",6,No,,Beta to the next move,Try the closer hold first,No,No,No,,,
12/14/2021 13:55:14,V5,Vertical,"Crimp, Pinch",7,No,,Beta to the next move,Try next move alone,Maybe,No,No,,,
12/14/2021 14:00:30,V5,Vertical,"Crimp, Pinch",7,No,,"Beta to the next move, Too crimpy using my beta",Try left hand?,No,No,No,,,
12/14/2021 14:04:58,V5,Vertical,"Jug, Pinch",1,No,,"Beta to the next move, Lack familiarity with the move",Practice the start move to make it more efficient ,No,No,No,,,
12/14/2021 14:09:28,V5,Vertical,"Jug, Pinch",2,No,,"Beta to the next move, Suboptimal sequence",Use side pull,No,No,No,,,
12/14/2021 14:13:57,V5,Vertical,"Jug, Sloper",3,No,,Beta to the next move,Try to make the first few moves more efficient,Maybe,No,No,,,
12/14/2021 14:19:28,V5,Vertical,"Crimp, Pinch",8,No,,"Beta to the next move, Heel hook need to be more dynamic ",,Maybe,Yes,No,,,
12/14/2021 14:24:50,V5,Vertical,"Jug, Sloper",4,No,,"Beta to the next move, Too tired",Try the other beta?,No,No,No,,,
12/14/2021 14:31:30,V5,Vertical,"Jug, Pinch",6,No,,Beta to the next move,,Maybe,No,No,,,
12/14/2021 14:35:26,V6,Overhang,"Jug, Crimp",1,No,,Beta to the next move,Put more weight on right foot?,No,No,No,,,
12/14/2021 14:39:32,V6,Overhang,"Jug, Crimp",2,No,,Beta to the next move,Try flagging the left leg,No,No,Maybe,,,
12/14/2021 14:41:54,V6,Overhang,"Jug, Crimp",3,No,,Beta to the next move,Beta is right need to add breathing and weight shifing,No,No,No,,,
12/14/2021 14:43:43,V6,Vertical,"Jug, Crimp",4,No,,"Lack familiarity with the move, Body feels twisted",Start from the next move,Yes,No,Yes,,,
12/14/2021 14:46:20,V6,Overhang,"Jug, Crimp",4,No,,"Lack familiarity with the move, Footwork issue, Too tired",Sit on the right foot,Maybe,No,Yes,,,
12/14/2021 14:52:05,V6,Overhang,"Jug, Crimp",6,No,,"Footwork issue, Too tired",Left hand pull to left,No,No,No,,,
12/14/2021 14:54:36,V6,Overhang,"Jug, Crimp",7,No,,Footwork issue,Never let go of the right foot,No,Maybe,No,,,
12/14/2021 14:56:55,V6,Overhang,"Jug, Crimp",9,No,,Too tired,Synchronize breathing weight shifting and foot,Yes,No,Yes,,,
12/14/2021 15:00:07,V6,Overhang,"Jug, Crimp",9,No,,Too tired,,Yes,No,Yes,,,
12/16/2021 20:04:36,V4,Vertical,"Edge, Crimp",1,No,,Beta to the next move,High foot?,No,No,No,,,
12/16/2021 20:06:52,V4,Vertical,"Edge, Crimp",2,Yes,5,,Weird route. Been busy thinking about beta,No,No,No,,,
12/16/2021 20:13:08,V5,Vertical,"Jug, Sloper",1,No,,"Beta to the next move, Footwork issue",Just dyno,Maybe,No,No,,,
12/16/2021 20:15:40,V5,Vertical,"Jug, Sloper",2,No,,"Beta to the next move, Suboptimal sequence, Footwork issue, Not committing ",Try turn around the body,No,No,No,,,
12/16/2021 20:19:14,V4,Vertical,Pinch,1,No,,Beta to the next move,Forgot one foothold ,Maybe,No,No,,,
12/16/2021 20:21:51,V4,Vertical,"Jug, Pinch",2,Yes,5,,,Maybe,Maybe,Maybe,,,
12/16/2021 20:25:20,V5,Vertical,"Jug, Sloper",3,No,,"Beta to the next move, Not committing ",Try the above three things ,No,No,No,,,
12/16/2021 20:27:00,V5,Vertical,"Jug, Sloper",4,No,,Footwork issue,Put more weight on left foot,Yes,No,Yes,,,
12/16/2021 20:30:05,V5,Vertical,"Jug, Sloper",5,No,,"Beta to the next move, Footwork issue",The above three things plus foot weight,No,No,No,,,
12/16/2021 20:32:55,V5,Vertical,"Jug, Crimp",1,No,,"Beta to the next move, Footwork issue",Keep core tight,No,No,No,,,
12/16/2021 20:35:47,V5,Slab,Crimp,2,No,,Beta to the next move,Left hand side pull,Maybe,No,No,,,
12/16/2021 20:39:41,V5,Vertical,Crimp,3,No,,"Beta to the next move, Suboptimal sequence, Wrong body position",Go reach height left hold first,No,No,Yes,,,
12/16/2021 20:46:38,V5,Vertical,Crimp,4,No,,"Beta to the next move, Suboptimal sequence",,Maybe,No,Maybe,,,
12/16/2021 20:50:18,V5,Vertical,Crimp,5,No,,"Beta to the next move, Side push?",Keep pressing left hand to left,Maybe,No,Maybe,,,
12/16/2021 20:55:17,V5,Vertical,Crimp,5,No,,Footwork issue,Right foot keeps tight it’s a dead point,Maybe,No,Maybe,,,
12/16/2021 21:01:47,V5,Vertical,Crimp,6,Yes,5,,The calmness in the last few moves is great,Maybe,No,Maybe,,,
12/16/2021 21:12:16,V4,Vertical,"Jug, Crimp",1,Yes,5,,,No,No,Maybe,,,
12/16/2021 21:13:34,V5,Arête,"Jug, Sloper",1,No,,"Beta to the next move, Suboptimal sequence",High right foot,No,No,No,,,
12/16/2021 21:15:39,V5,Arête,"Jug, Sloper",2,No,,Beta to the next move,Left foot high,Maybe,No,Maybe,,,
12/16/2021 21:17:24,V5,Arête,"Jug, Sloper",3,No,,Beta to the next move,Try right toe hook or heel hook,No,No,Maybe,,,
12/16/2021 21:20:46,V5,Arête,"Jug, Sloper",4,No,,"Beta to the next move, Suboptimal sequence",Try right hand,No,No,No,,,
12/16/2021 21:24:28,V5,Arête,"Jug, Sloper",5,No,,Beta to the next move,Try the left hold first,No,No,Maybe,,,
12/16/2021 21:27:25,V5,Arête,"Jug, Sloper",6,No,,Beta to the next move,Old beta,No,No,No,,,
12/16/2021 21:32:02,V5,Arête,"Jug, Sloper",7,No,,"Wrong body position, Footwork issue",Side pull,No,No,Maybe,,,
12/16/2021 21:33:29,V4,Vertical,"Jug, Sloper",1,No,,Beta to the next move,The three things above,No,No,No,,,
12/16/2021 21:37:28,V4,Vertical,"Jug, Sloper",2,Yes,6,,Beta adjustment is good,Maybe,Yes,Maybe,,,
12/16/2021 21:46:57,V5,Vertical,Crimp,1,No,,Dry fire,,No,No,No,,,
12/16/2021 21:47:31,V5,Vertical,Crimp,2,Yes,5,,,No,No,No,,,
